s2_id,s2_token,num,name,lat,lng,encounter_ms,disppear_ms
-9182982313653305000,808f7e3d12d,25,Pikachu,37.7599126804,-122.422613964,1469521009940,1469520265691
-9182898095787082000,808fcad5a05,25,Pikachu,37.304823313,-121.948866414,1469520664820,1469520277694
-9182898104377016000,808fcad3c37,25,Pikachu,37.3046382561,-121.954732207,1469520463260,1469520277690
-9182898104377016000,808fcad3c37,25,Pikachu,37.3046382561,-121.954732207,1469520463260,1469520277695
-9182898095787082000,808fcad5a05,25,Pikachu,37.304823313,-121.948866414,1469520664820,1469520277694
-9183346168250237000,808e3350a6d,25,Pikachu,37.3090217718,-121.895082067,1469520294196,1469520278277
-9183346125300564000,808e335a865,25,Pikachu,37.3089585741,-121.893036855,1469520601332,1469520278276
-9182897694207640000,808fcb33779,25,Pikachu,37.3099671455,-121.931000479,1469520842436,1469520278412
-9183344647831814000,808e34b2e75,25,Pikachu,37.3110529178,-121.915621008,-1,1469520278514
-9182921589258191000,808fb577bf5,25,Pikachu,37.322372054,-122.005911265,-1,1469520279741
-9182897543883784000,808fcb5661f,25,Pikachu,37.3213545446,-121.904596251,1469520905404,1469520279862
-9183346294951772000,808e33331f1,25,Pikachu,37.3244504434,-121.870714907,1469520733860,1469520280222
-9182897636225581000,808fcb40c69,25,Pikachu,37.3253534631,-121.922822068,1469520920708,1469520280345
-9182897636225581000,808fcb40c69,25,Pikachu,37.3253534631,-121.922822068,1469520920708,1469520280347
-9182898463006786000,808fca805d5,25,Pikachu,37.3269754676,-121.990631135,1469521120116,1469520280441
-9182898430794531000,808fca87e8d,25,Pikachu,37.3297910102,-121.982279464,-1,1469520280759
-9182897936873292000,808fcafae1f,25,Pikachu,37.3305203505,-121.955887554,1469521156252,1469520280945
-9182898624068059000,808fca5af45,25,Pikachu,37.344736455,-121.960331081,1469520723700,1469520282434
-9182895804422029000,808fcceb75d,25,Pikachu,37.3472040097,-121.876318051,1469520332756,1469520282653
-9182898731442242000,808fca41ac3,25,Pikachu,37.3516815525,-121.967706939,1469520716876,1469520283117
-9182898941895639000,808fca10e87,25,Pikachu,37.3593076789,-121.977303698,1469520669116,1469520284022
-9182898941895639000,808fca10e87,25,Pikachu,37.3593076789,-121.977303698,1469520669116,1469520284022
-9182897333430387000,808fcb8708f,25,Pikachu,37.3613538399,-121.903796024,1469520417660,1469520284267
-9182920932128195000,808fb610dd3,25,Pikachu,37.3752576399,-122.006355423,1469521086060,1469520285794
-9182899631237890000,808fc970065,25,Pikachu,37.3927605056,-121.936511674,1469520406708,1469520287957
-9182899813774000000,808fc945937,25,Pikachu,37.4027723943,-121.91419852,1469520377532,1469520289138
-9182899813774000000,808fc945937,25,Pikachu,37.4027723943,-121.91419852,1469520377532,1469520289141
-9182901001332457000,808fc8315c3,25,Pikachu,37.4143696798,-121.976948277,1469520451180,1469520290392
-9182900217500926000,808fc8e7d1f,25,Pikachu,37.4333071964,-121.927000245,1469520953916,1469520292657
-9182901123739025000,808fc814ab3,25,Pikachu,37.4351155605,-121.970106207,1469521086060,1469520292757
-9182900793026544000,808fc861ce7,25,Pikachu,37.4398498494,-121.948155388,1469520828124,1469520293399
-9182920075282219000,808fb6d836b,25,Pikachu,37.378701064,-122.07127184,1469521107340,1469520477731
-9182926595042574000,808fb0ea1b7,25,Pikachu,37.3846045198,-122.107309902,1469520486812,1469520478284
-9182926711006691000,808fb0cf5d3,25,Pikachu,37.3870741641,-122.094440542,1469520668940,1469520478571
-9182902227545620000,808fc713b87,25,Pikachu,37.5020981242,-121.965840805,1469522091484,1469521684934
-9182902227545620000,808fc713b87,25,Pikachu,37.5020981242,-121.965840805,1469522091484,1469521685084
-9182918015845401000,808fb8b7ae9,25,Pikachu,37.5059502044,-122.013195227,1469522395044,1469521685309
-9182902072926798000,808fc737aad,25,Pikachu,37.5200815459,-121.967351487,1469521861076,1469521686858
-9182902098696602000,808fc731a4d,25,Pikachu,37.5228613687,-121.960864292,1469522569172,1469521687169
-9182910761645638000,808fbf50bef,25,Pikachu,37.5261363672,-121.999692866,1469522320124,1469521687589
-9182909245522182000,808fc0b1b91,25,Pikachu,37.5299686932,-121.979791609,1469521694276,1469521687914
-9182909245522182000,808fc0b1b91,25,Pikachu,37.5299686932,-121.979791609,1469521694276,1469521687916
-9182911000016323000,808fbf1971d,25,Pikachu,37.5314612011,-122.030426077,1469522157556,1469521688016
